Player,Team,Position,Classification
Pascal Siakam,TOR,PF,5
Kyrie Irving,2TM,SG,1
Jayson Tatum,BOS,SF,5
James Harden,PHI,PG,2
Fred VanVleet,TOR,PG,2
Dejounte Murray,ATL,SG,2
Damian Lillard,POR,PG,1
DeMar DeRozan,CHI,SF,5
Luka Doncic,DAL,PG,1
Anthony Edwards,MIN,SG,1
Zach LaVine,CHI,SG,1
Jaylen Brown,BOS,SF,5
Donovan Mitchell,CLE,SG,1
Mikal Bridges,2TM,SG,4
Jerami Grant,POR,PF,5
OG Anunoby,TOR,SF,6
Julius Randle,NYK,PF,5
Shai Gilgeous-Alexander,OKC,PG,1
Darius Garland,CLE,PG,2
CJ McCollum,NOP,PG,1
Terry Rozier,CHO,SG,3
Anfernee Simons,POR,SG,1
Jalen Brunson,NYK,PG,1
Kyle Kuzma,WAS,PF,5
Tyler Herro,MIA,SG,1
Trae Young,ATL,PG,2
Scottie Barnes,TOR,SF,5
Bam Adebayo,MIA,C,7
Domantas Sabonis,SAC,C,8
Joel Embiid,PHI,C,9
Spencer Dinwiddie,2TM,SG,4
Lauri Markkanen,UTA,PF,5
Evan Mobley,CLE,PF,7
Kevin Porter Jr.,HOU,PG,1
Jalen Green,HOU,SG,1
RJ Barrett,NYK,SG,1
Paolo Banchero,ORL,PF,5
"Nikola Jokic
",DEN,C,8
Tyrese Maxey,PHI,SG,1
Nikola Vucevic,CHI,C,8
Jimmy Butler,MIA,PF,5
De'Aaron Fox,SAC,PG,1
Klay Thompson,GSW,SF,4
Tobias Harris,PHI,SF,4
Jamal Murray,DEN,PG,1
Keldon Johnson,SAS,SF,5
Jarrett Allen,CLE,C,7
Kristaps Porzingis,WAS,C,9
Franz Wagner,ORL,SF,4
P.J. Washington,CHO,PF,5
Jordan Clarkson,UTA,SG,1
Jrue Holiday,MIL,PG,3
Harrison Barnes,SAC,PF,4
D'Angelo Russell,2TM,PG,1
Josh Hart,2TM,SF,6
Giannis Antetokounmpo,MIL,PF,5
Gary Trent Jr.,TOR,SG,1
Bojan Bogdanovic,DET,PF,5
Marcus Smart,BOS,PG,3
Chris Paul,PHO,PG,2
Ja Morant,MEM,PG,1
Desmond Bane,MEM,SG,1
De'Andre Hunter,ATL,SF,4
Royce O'Neale,BRK,SF,4
Draymond Green,GSW,PF,6
Kentavious Caldwell-Pope,DEN,SG,4
Josh Giddey,OKC,PF,5
Jaden Ivey,DET,SG,2
Jabari Smith Jr.,HOU,PF,6
Buddy Hield,IND,SF,5
Trey Murphy III,NOP,SF,4
Luguentz Dort,OKC,SF,6
Rudy Gobert,MIN,C,7
Jaden McDaniels,MIN,SF,6
Al Horford,BOS,C,8
Dorian Finney-Smith,2TM,PF,4
Brook Lopez,MIL,C,7
Deandre Ayton,PHO,C,7
Jalen Williams,OKC,SG,4
Dillon Brooks,MEM,SF,6
Tim Hardaway Jr.,DAL,SF,4
"Reggie Bullock Jr.
",DAL,SF,4
Mike Conley,2TM,PG,2
Caris LeVert,CLE,SG,4
Aaron Gordon,DEN,PF,6
"Dennis Schroder
",LAL,PG,2
John Collins,ATL,PF,5
